Drug Name,gene_name,entrez
phenylalanine,FARS2,10667
phenylalanine,FARSB,10056
phenylalanine,TH,7054
biotin,PCCB,5096
biotin,HLCS,3141
biotin,MCCC2,64087
biotin,ACACB,32
biotin,MCCC1,56922
biotin,PC,5091
biotin,PCCA,5095
biotin,ACACA,31
choline,PCYT1B,9468
choline,ACHE,43
choline,PCYT1A,5130
choline,PLD2,5338
choline,BCHE,590
choline,PLD1,5337
choline,PHOSPHO1,162466
choline,CHRNA7,1139
l-lysine,SLC7A1,6541
l-lysine,SLC7A4,6545
l-lysine,SLC7A3,84889
l-lysine,SLC7A2,6542
arginine,NOS3,4846
arginine,SLC7A3,84889
arginine,AZIN2,113451
arginine,ASL,435
arginine,NOS2,4843
arginine,SLC7A1,6541
arginine,ARG2,384
arginine,SLC7A4,6545
arginine,ASS1,445
ascorbic acid,PLOD2,5352
ascorbic acid,PHYH,5264
ascorbic acid,PLOD3,8985
ascorbic acid,BBOX1,8424
ascorbic acid,DBH,1621
ascorbic acid,PAM,5066
ascorbic acid,P3H1,64175
ascorbic acid,P3H2,55214
ascorbic acid,P3H3,10536
ascorbic acid,P4HA1,5033
ascorbic acid,OGFOD1,55239
ascorbic acid,OGFOD2,79676
ascorbic acid,ALKBH2,121642
ascorbic acid,ALKBH3,221120
ascorbic acid,KDM5D,8284
ascorbic acid,PLOD1,5351
ascorbic acid,TMLHE,55217
ascorbic acid,P4HTM,54681
ascorbic acid,EGLN1,54583
ascorbic acid,EGLN2,112398
ascorbic acid,EGLN3,112399
spermine,SMS,6611
spermine,SMOX,54498
spermine,ODC1,4953
spermine,CASR,846
spermine,ADRB1,153
spermine,ADRB2,154
aspartic acid,RNASE1,6035
aspartic acid,LYZ,4069
aspartic acid,SLC25A13,10165
aspartic acid,GOT1,2805
aspartic acid,ASPA,443
aspartic acid,ASNS,440
aspartic acid,ASS1,445
aspartic acid,ACY1,95
aspartic acid,GOT2,2806
aspartic acid,SLC25A12,8604
aspartic acid,ASPH,444
aspartic acid,PAICS,10606
aspartic acid,SLC1A1,6505
aspartic acid,DARS2,55157
aspartic acid,ASRGL1,80150
ornithine,OAT,4942
ornithine,OTC,5009
ornithine,ARG1,383
ornithine,OAZ1,4946
ornithine,SLC7A1,6541
ornithine,SLC7A2,6542
ornithine,SLC25A2,83884
ornithine,ARG2,384
ornithine,SLC25A15,10166
ornithine,GATM,2628
l-glutamine,CTPS1,1503
l-glutamine,PPAT,5471
l-glutamine,GLUL,2752
adenosine phosphate,CREB1,1385
adenosine phosphate,PDE4B,5142
adenosine phosphate,PRKAB1,5564
adenosine phosphate,HINT1,3094
adenosine phosphate,PDE4D,5144
adenosine phosphate,ACSS2,55902
adenosine phosphate,PRKAA1,5562
adenosine phosphate,ADCY1,107
adenosine phosphate,ACSL1,2180
adenosine phosphate,FBP1,2203
adenosine phosphate,ADK,132
adenosine phosphate,PRKAA1,5562
alpha-linolenic acid,FADS1,3992
alpha-linolenic acid,FADS2,9415
alpha-linolenic acid,SLC8A1,6546
alpha-linolenic acid,TRPV1,7442
alpha-linolenic acid,PPARA,5465
alpha-linolenic acid,NR1H4,9971
alpha-linolenic acid,PPARD,5467
alpha-linolenic acid,PPARG,5468
alpha-linolenic acid,RXRA,6256
alpha-linolenic acid,ELOVL2,54898
alpha-linolenic acid,ELOVL5,60481
serine,CBS,875
serine,SDS,10993
serine,SRR,63826
serine,SPTLC2,9517
serine,SPTLC1,10558
serine,AGXT,189
methionine,MTRR,4552
methionine,MTR,4548
methionine,METAP2,10988
methionine,BHMT,635
methionine,BHMT2,23743
tyrosine,TH,7054
tyrosine,YARS2,51067
tyrosine,TAT,6898
calcitriol,VDR,7421
calcitriol,HOXA10,3206
cystine,SLC7A11,23657
cystine,CTNS,1497
succinic acid,SUCNR1,56670
succinic acid,ALDH5A1,7915
riboflavin,RFK,55312
riboflavin,BLVRB,645
n-acetylglucosamine,B4GALT1,2683
n-acetylglucosamine,B4GALT4,8702
n-acetylglucosamine,NAGK,55577
n-acetylglucosamine,NAGPA,51172
n-acetylglucosamine,NAGLU,4669
n-acetylglucosamine,RENBP,5973
glutamic acid,GRM1,2911
glutamic acid,GRM4,2914
glutamic acid,GRIK4,2900
glutamic acid,GRIK5,2901
glutamic acid,GRM7,2917
glutamic acid,GRM8,2918
glutamic acid,SLC1A7,6512
glutamic acid,OPLAH,26873
glutamic acid,PFAS,5198
glutamic acid,BCAT2,587
glutamic acid,GRIN2D,2906
glutamic acid,GLS,2744
glutamic acid,GOT2,2806
glutamic acid,ASNS,440
glutamic acid,GLUL,2752
glutamic acid,GOT1,2805
glutamic acid,TAT,6898
glutamic acid,GPT,2875
glutamic acid,GGCX,2677
glutamic acid,SLC1A3,6507
glutamic acid,SLC1A2,6506
glutamic acid,SLC1A1,6505
glutamic acid,GCLC,2729
glutamic acid,SLC1A6,6511
glutamic acid,GLUD2,2747
glutamic acid,GMPS,8833
glutamic acid,BCAT1,586
glutamic acid,ABAT,18
glutamic acid,GRIN1,2902
glutamic acid,FPGS,2356
glutamic acid,ENPEP,2028
glutamic acid,GRIN2A,2903
glutamic acid,GRIN2B,2904
glutamic acid,GRIN2C,2905
glutamic acid,EARS2,124454
glutamic acid,NADSYN1,55191
glutamic acid,NAGS,162417
glutamic acid,AADAT,51166
glutamic acid,GRIN3A,116443
glutamic acid,GPT2,84706
glutamic acid,AASS,10157
glutamic acid,GLS2,27165
glutamic acid,DNPEP,23549
glutamic acid,SLC7A11,23657
glutamic acid,CPQ,10404
glutamic acid,PSAT1,29968
glutamic acid,GLUD1,2746
glutamic acid,GRIK1,2897
glutamic acid,GRIA1,2890
glutamic acid,GCLM,2730
glutamic acid,FOLH1,2346
glutamic acid,GAD2,2572
glutamic acid,GAD1,2571
glutamic acid,FTCD,10841
glutamic acid,GRIA2,2891
glutamic acid,GRIA3,2892
glutamic acid,GRIA4,2893
glutamic acid,ALDH18A1,5832
glutamic acid,GRIK2,2898
glutamic acid,GRIK3,2899
glutathione,MGST3,4259
glutathione,HPGDS,27306
glutathione,GSTA1,2938
glutathione,GSTA2,2939
glutathione,MGST1,4257
glutathione,ESD,2098
glutathione,GGT1,2678
glutathione,GSTM2,2946
glutathione,GLRX,2745
glutathione,GPX4,2879
glutathione,GSTM5,2949
glutathione,GPX6,257202
glutathione,HAGH,3029
glutathione,GPX1,2876
glutathione,GPX7,2882
glutathione,MGST2,4258
glutathione,GSTO2,119391
glutathione,GLRX2,51022
glutathione,GLO1,2739
glutathione,LTC4S,4056
glutathione,GSR,2936
glutathione,GSS,2937
glutathione,GSTM1,2944
glutathione,GSTK1,373156
glutathione,GSTA3,2940
glutathione,GSTM3,2947
glutathione,GSTA4,2941
glutathione,GSTM4,2948
glutathione,GSTA5,221357
glutathione,GSTP1,2950
glutathione,GSTO1,9446
glutathione,GPX1,2876
glutathione,GPX2,2877
glutathione,GSTT1,2952
glutathione,GSTZ1,2954
glutathione,GPX5,2880
glutathione,GPX3,2878
glutathione,AKR1B1,231
glutathione,MMP9,4318
glutathione,CYP3A4,1576
glutathione,GPX5,2880
phosphatidyl serine,DGKG,1608
phosphatidyl serine,DGKD,8527
phosphatidyl serine,PTDSS2,81490
phosphatidyl serine,SMPD4,55627
phosphatidyl serine,SMPD3,55512
phosphatidyl serine,ATP8A1,10396
phosphatidyl serine,PRKCA,5578
phosphatidyl serine,PTDSS1,9791
phosphatidyl serine,PISD,23761
phosphatidyl serine,SCARB1,949
glycine,GCAT,23464
glycine,ALAS1,211
glycine,ALAS2,212
glycine,GRIN2A,2903
glycine,BAAT,570
glycine,GPR18,2841
glycine,GSS,2937
glycine,GRIN2C,2905
glycine,GLYAT,10249
glycine,SHMT2,6472
glycine,GLYATL2,219970
glycine,GLYATL1,92292
glycine,AGXT2,64902
glycine,PIPOX,51268
glycine,GRIN3B,116444
glycine,GLRA1,2741
glycine,AGXT,189
glycine,GLRB,2743
glycine,SHMT1,6470
glycine,GLRA3,8001
glycine,GLRA2,2742
glycine,GNMT,27232
glycine,GATM,2628
calcifediol,VDR,7421
pyridoxal,PDXK,8566
creatine,CKM,1158
creatine,CKMT1A,548596
creatine,CKB,1152
creatine,CKMT2,1160
creatine,SLC6A8,6535
creatine,GAMT,2593
leucine,LARS2,23395
leucine,BCAT2,587
leucine,BCAT1,586
leucine,LCMT2,9836
leucine,LCMT1,51451
tryptophan,WARS2,10352
cysteine,GCLM,2730
cysteine,GCLC,2729
cysteine,GOT1,2805
cysteine,GOT2,2806
cysteine,CTH,1491
cysteine,CBS,875
cysteine,MGMT,4255
cysteine,GSS,2937
cysteine,CARS2,79587
cysteine,CSAD,51380
cysteine,NFS1,9054
cysteine,CDO1,1036
thiamine,TPK1,27010
ergocalciferol,VDR,7421
ergocalciferol,CACNG1,786
dihomo-gamma-linolenic acid,PTGS1,5742
dihomo-gamma-linolenic acid,PTGS2,5743
citrulline,ASS1,445
citrulline,DDAH2,23564
citrulline,DDAH1,23576
citrulline,OTC,5009
citrulline,NOS1,4842
citrulline,NOS2,4843
citrulline,NOS3,4846
citrulline,PADI6,353238
citrulline,PADI1,29943
citrulline,PADI3,51702
citrulline,PADI2,11240
citrulline,PADI4,23569
threonine,TARS2,80222
nadh,UGDH,7358
nadh,ADH1A,124
nadh,SORD,6652
nadh,ADH4,127
nadh,ADH1C,126
nadh,ADH1B,125
nadh,ADH7,131
nadh,GPD1,2819
nadh,LDHAL6A,160287
nadh,ADH5,128
nadh,AKR1B1,231
nadh,HSD17B10,3028
nadh,MDH2,4191
nadh,LDHA,3939
nadh,ME2,4200
nadh,HSD17B4,3295
nadh,LDHAL6B,92483
nadh,LDHC,3948
nadh,LDHB,3945
nadh,EHHADH,1962
nadh,HADH,3033
nadh,ME3,10873
nadh,BDH1,622
nadh,MDH1,4190
nadh,HIBADH,11112
nadh,HSD17B3,3293
nadh,HMGCR,3156
nadh,ME1,4199
nadh,PHGDH,26227
nadh,HSD17B7,51478
nadh,IDH3G,3421
nadh,IDH3B,3420
nadh,IDH3A,3419
nadh,HSD17B1,3292
nadh,HSD17B2,3294
nadh,RDH5,5959
nadh,H6PD,9563
nadh,HSD17B8,7923
nadh,AKR1C4,1109
nadh,IMPDH2,3615
nadh,AKR1C3,8644
nadh,HPGD,3248
nadh,AKR1C1,1645
nadh,HSD11B1,3290
nadh,HSD3B2,3284
nadh,HSD3B1,3283
nadh,IMPDH1,3614
nadh,HADHA,3030
nadh,ALDH2,217
nadh,HSD11B2,3291
nadh,AKR1C2,1646
nadh,NSDHL,50814
nadh,ALDH3B2,222
nadh,ALDH6A1,4329
nadh,ALDH3A1,218
nadh,ALDH1A1,216
nadh,GAPDHS,26330
nadh,ALDH9A1,223
nadh,ALDH1A3,220
nadh,ALDH1B1,219
nadh,ALDH3B1,221
nadh,GAPDH,2597
nadh,ALDH1A2,8854
nadh,ALDH3A2,224
nadh,ALDH5A1,7915
nadh,ALDH7A1,501
nadh,BLVRB,645
nadh,PYCR2,29920
nadh,PYCR1,5831
nadh,GLUD1,2746
nadh,PDHB,5162
nadh,PDHA2,5161
nadh,PDHA1,5160
nadh,BLVRA,644
nadh,ACADS,35
nadh,DHFR,1719
nadh,OGDH,4967
nadh,GLUD2,2747
nadh,DHCR7,1717
nadh,NQO2,4835
nadh,AASS,10157
nadh,NDUFS7,374291
nadh,MTHFD1,4522
nadh,MTHFD2,10797
nadh,ALDH4A1,8659
nadh,CYB5R3,1727
nadh,NDUFA11,126328
nadh,QDPR,5860
nadh,NNT,23530
nadh,NDUFA5,4698
nadh,NDUFA9,4704
nadh,NDUFA10,4705
nadh,NDUFA7,4701
nadh,NDUFA1,4694
nadh,NDUFA4,4697
nadh,NDUFA6,4700
nadh,NDUFAB1,4706
nadh,NDUFA2,4695
nadh,NDUFA8,4702
nadh,NDUFA3,4696
nadh,NDUFB8,4714
nadh,NDUFC2,4718
nadh,NDUFB1,4707
nadh,NDUFS1,4719
nadh,NDUFB10,4716
nadh,NDUFB4,4710
nadh,NDUFB3,4709
nadh,NDUFB2,4708
nadh,NDUFB7,4713
nadh,NDUFB9,4715
nadh,NDUFS2,4720
nadh,NDUFB5,4711
nadh,NDUFC1,4717
nadh,NDUFB6,4712
nadh,NDUFV3,4731
nadh,DLD,1738
nadh,NDUFS3,4722
nadh,GSR,2936
nadh,NDUFA12,55967
nadh,NDUFS5,4725
nadh,NDUFS4,4724
nadh,NDUFV1,4723
nadh,NDUFV2,4729
nadh,NDUFA13,51079
nadh,CDO1,1036
nadh,NDUFS6,4726
nadh,NDUFA4L2,56901
nadh,NDUFS8,4728
nadh,CYP4A11,1579
nadh,DLAT,1737
nadh,AMT,275
nadh,MSMO1,6307
nadh,HMOX1,3162
nadh,HMOX2,3163
nadh,CYP17A1,1586
nadh,TYR,7299
folic acid,FOLR3,2352
folic acid,FOLR2,2350
folic acid,FOLR1,2348
icosapent,PTGS2,5743
icosapent,PTGS1,5742
icosapent,PPARG,5468
icosapent,PPARD,5467
icosapent,FADS1,3992
icosapent,ACSL4,2182
icosapent,FFAR1,2864
icosapent,SLC8A1,6546
icosapent,TRPV1,7442
icosapent,PPARA,5465
alanine,AGXT,189
alanine,ABAT,18
alanine,KYNU,8942
alanine,AARS2,57505
alanine,PHYKPL,85007
alanine,GPT2,84706
alanine,GPT,2875
alanine,NFS1,9054
alanine,SLC36A1,206358
alanine,SLC7A8,23428
alanine,AGXT2,64902
alanine,SLC1A4,6509
valine,PCCB,5096
valine,BCAT1,586
vitamin a,RDH12,145226
vitamin a,DHRS3,9249
vitamin a,ALDH1A3,220
vitamin a,RETSAT,54884
vitamin a,RDH11,51109
vitamin a,DHRS4,10901
vitamin a,RDH14,57665
vitamin a,RDH8,50700
vitamin a,LRAT,9227
vitamin a,RDH5,5959
vitamin a,RDH13,112724
vitamin a,ALDH1A2,8854
vitamin a,ALDH1A1,216
vitamin a,APOD,347
vitamin a,PTGDS,5730
vitamin e,NR1I2,8856
vitamin e,PRKCB,5579
vitamin e,ALOX5,240
vitamin e,PRKCA,5578
vitamin e,DGKA,1606
vitamin e,PPP2CB,5516
vitamin e,PPP2CA,5515
vitamin e,SEC14L4,284904
vitamin e,SEC14L3,266629
vitamin e,SEC14L2,23541
pyridoxine,PDXK,8566
lipoic acid,LIPT1,51601
lipoic acid,LIAS,11019
lipoic acid,SLC5A6,8884
isoleucine,IARS2,55699
isoleucine,ACADSB,36
isoleucine,BCAT1,586
isoleucine,BCAT2,587
aspartame,TRPV1,7442
aspartame,TAS1R2,80834
aspartame,TAS1R3,83756
cholecalciferol,VDR,7421
menadione,GGCX,2677
menadione,VKORC1,79001
menadione,VKORC1L1,154807
menadione,F2,2147
menadione,F9,2158
menadione,PROC,5624
menadione,PROS1,5627
menadione,NQO2,4835
